file,field,real_answer
pdf1.pdf,question_1,N
pdf1.pdf,question_2,N
pdf1.pdf,question_3,Y
pdf1.pdf,question_4,N
pdf1.pdf,question_5,N
pdf1.pdf,question_6,Y
pdf1.pdf,question_7,Y
pdf1.pdf,question_8,N
pdf1.pdf,question_9,Y
pdf1.pdf,question_10,Y
pdf2.pdf,question_1,N
pdf2.pdf,question_2,N
pdf2.pdf,question_3,Y
pdf2.pdf,question_4,N
pdf2.pdf,question_5,N
pdf2.pdf,question_6,Y
pdf2.pdf,question_7,Y
pdf2.pdf,question_8,N
pdf2.pdf,question_9,Y
pdf2.pdf,question_10,Y
pdf3.pdf,question_1,N
pdf3.pdf,question_2,N
pdf3.pdf,question_3,Y
pdf3.pdf,question_4,N
pdf3.pdf,question_5,N
pdf3.pdf,question_6,Y
pdf3.pdf,question_7,Y
pdf3.pdf,question_8,N
pdf3.pdf,question_9,Y
pdf3.pdf,question_10,Y
pdf4.pdf,question_1,Y
pdf4.pdf,question_2,Y
pdf4.pdf,question_3,Y
pdf5.pdf,question_1,Y
pdf5.pdf,question_2,Y
pdf5.pdf,question_3,Y
pdf6.pdf,question_1,N
pdf6.pdf,question_2,N
pdf6.pdf,question_3,Y
pdf6.pdf,question_4,N
pdf6.pdf,question_5,N
pdf6.pdf,question_6,Y
pdf6.pdf,question_7,Y
pdf6.pdf,question_8,N
pdf6.pdf,question_9,Y
pdf6.pdf,question_10,Y
pdf7.pdf,question_1,Y
pdf7.pdf,question_2,N
pdf7.pdf,question_3,Y
pdf8.pdf,question_1,Y
pdf8.pdf,question_2,N
pdf8.pdf,question_3,N
pdf9.pdf,question_1,N
pdf9.pdf,question_2,N
pdf9.pdf,question_3,N
pdf10.pdf,question_1,Y
pdf10.pdf,question_2,N
pdf10.pdf,question_3,N
pdf10.pdf,question_4,Y
pdf10.pdf,question_5,N
pdf10.pdf,question_6,Y
pdf10.pdf,question_7,Not applicable
pdf10.pdf,question_8,Y
pdf10.pdf,question_9,N
pdf10.pdf,question_10,Y
pdf10.pdf,question_11,N
pdf10.pdf,question_12,N
pdf11.pdf,question_1,Y
pdf11.pdf,question_2,N
pdf11.pdf,question_3,N
pdf11.pdf,question_4,Y
pdf11.pdf,question_5,N
